category,standard_name,aliases
양이온계 계면활성제,(3-클로로-2-하이드록시프로필)도데실디메틸암모늄클로라이드,(3-클로로-2-하이드록시프로필)도데실디메틸암모늄 클로라이드
향료 구성성분,(4R)-4-(1-메틸에틸)-1-사이클로헥센-1-프로판알,(4R)-4-(1-메틸에틸)-1-사이클로헥센-1-프로판알
향료 구성성분,(E)-2-도데세날,(E)-2-도데세날
보존제,"1,2-벤즈아이소티아졸-3(2H)-온","1,2-벤즈아이소티아졸-3(2H)-온"
보존보조/용제,"1,2-헥산다이올","1,2-핵산다이올"
향료 구성성분,"1,3,4,6,7,8-헥사하이드로-4,6,6,7,8,8-헥사메틸사이클로펜타[g]-2-벤조피란","1,3,4,6,7,8=헥사하이드로-4,6,6,7,8,8-헥사메틸사이클로펜타[g]-2-벤조피란"
,,헥사메틸사이클로펜타[g]-2-벤조피란
용제/성능보조,"1,3-프로판다이올","1,3-디프로판디올"
,,"1,3-프로판다이올"
,,"1,3-프로판디올"
양이온계 계면활성제/유연제,2-[(2-아미노에틸)아미노]에탄올 지방산(C18-24) 및 수소화탈로우지방산 아미드 화합물 디메틸황산염,2-[(2-아미노에틸)아미노]에탄올 지방산(C18-24) 그리고 수소화된 탈로우 지방산 아미드 화합물 디메틸 황산염
향료 구성성분,"3,7,7-트리메틸바이사이클로[4.1.0]헵-3-텐","3,7,7-트리메틸바이사이클로[4.1.0]헵-3-텐"
비이온계 계면활성제,C10-16 알킬글루코사이드,D-글루코피라노사이드 올리고머릭 알킬 C10-16 글리코사이드
비이온계 계면활성제,C11-14 아이소알코올(C13-rich) 에톡실레이트,"(C=11-14)-아이소, (C=13)-리치, 에톡실레이티드"
,,에톡실레이티드
,,"알코올, (C=11-14)-아이소, (C=13) -리치, 에톡실레이티드"
비이온계 계면활성제,C12-15 알코올 에톡실레이트,C12-15 에톡실레이티드 알코올
,,C12-15에톡실레이티드알코올
지방산,C16-18 지방산,C16-18 지방산
양쪽성 계면활성제,"N,N-다이메틸도데실아민 N-옥사이드","N,N-다이메틸도데실아민 N-옥사이드"
,,"N,N-다이메틸도데실아민 N-옥사이드 (양쪽성이온계)"
,,"N,N-다이메틸도데실아민N-옥사이드"
살충제,d-페노트린,D-페노트린
,,d-페노트린
실리콘계 계면활성/성능보조,"α-[3-[1,3,3,3-테트라메틸-1-[(트라이메틸실릴)옥시]다이실록사닐]프로필]-ω-하이드록시-폴리(옥시-1,2-에탄다이일)","a-[3-[1,3,3,3-테트라메틸-1-[(트라이메틸실릴)옥시]다이실록사닐]프로필]-w-하이드록시-폴리(옥시-1,2-에탄다일"
