"표준 성분명
standard_name","제품 카테고리
category","최종 등급
risk_level","왜 이 등급인지
basis","사용자 주의사항 - 초본
warning","사용자 주의사항
warning","사용자용 쉬운 설명
description"
(3-클로로-2-하이드록시프로필)도데실디메틸암모늄클로라이드,양이온계 계면활성제,Medium,EWG - C,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,(3-클로로-2-하이드록시프로필)도데실디메틸암모늄클로라이드은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
(4R)-4-(1-메틸에틸)-1-사이클로헥센-1-프로판알,향료 구성성분,Medium,,,향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"(4R)-4-(1-메틸에틸)-1-사이클로헥센-1-프로판알은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
(E)-2-도데세날,향료 구성성분,Medium,EWG - C,,향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"(E)-2-도데세날은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
"1,2-벤즈아이소티아졸-3(2H)-온",보존제,Medium,"EWG - C
EPA - yellow triangle","toxic to aquatic life (moderate)
skin irritation/allergies (some)
developmental/endocrine/reproductive effects (some)",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,"1,2-벤즈아이소티아졸-3(2H)-온은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다."
"1,2-헥산다이올",보존보조/용제,Low,"EPA - green circle
EWG - C",Evidence of respiratory effects; skin irritation/allergies/damage; damage to vision,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","1,2-헥산다이올은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
"1,3,4,6,7,8-헥사하이드로-4,6,6,7,8,8-헥사메틸사이클로펜타[g]-2-벤조피란",향료 구성성분,High,EWG - F,"Very toxic to aquatic life with long lasting effects (high)
skin irritation/allergies/damage (some)",필요한 만큼만 사용하고 흡입·피부 접촉을 줄이세요. 남은 제품은 배수구에 함부로 버리지 마세요.,"1,3,4,6,7,8-헥사하이드로-4,6,6,7,8,8-헥사메틸사이클로펜타[g]-2-벤조피란은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 환경에 오래 남거나 수생생물에 영향을 줄 수 있어 필요한 양만 조심해서 사용하는 것이 좋습니다."
"1,3-프로판다이올",용제/성능보조,Low,"EWG - 
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","1,3-프로판다이올은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
2-[(2-아미노에틸)아미노]에탄올 지방산(C18-24) 및 수소화탈로우지방산 아미드 화합물 디메틸황산염,양이온계 계면활성제/유연제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,2-[(2-아미노에틸)아미노]에탄올 지방산(C18-24) 및 수소화탈로우지방산 아미드 화합물 디메틸황산염은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
"3,7,7-트리메틸바이사이클로[4.1.0]헵-3-텐",향료 구성성분,Medium,,,향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"3,7,7-트리메틸바이사이클로[4.1.0]헵-3-텐은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
C10-16 알킬글루코사이드,비이온계 계면활성제,Low,"EWG - B
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",C10-16 알킬글루코사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
